"Tarih","kur"
"01-01-2020",""
"02-01-2020","5.94"
"03-01-2020","5.95"
"04-01-2020",""
"05-01-2020",""
"06-01-2020","5.96"
"07-01-2020","5.97"
"08-01-2020","5.96"
"09-01-2020","5.96"
"10-01-2020","5.88"
"11-01-2020",""
"12-01-2020",""
"13-01-2020","5.87"
"14-01-2020","5.85"
"15-01-2020","5.88"
"16-01-2020","5.88"
"17-01-2020","5.87"
"18-01-2020",""
"19-01-2020",""
"20-01-2020","5.86"
"21-01-2020","5.90"
"22-01-2020","5.92"
"23-01-2020","5.93"
"24-01-2020","5.92"
"25-01-2020",""
"26-01-2020",""
"27-01-2020","5.93"
"28-01-2020","5.94"
"29-01-2020","5.93"
"30-01-2020","5.94"
"31-01-2020","5.97"
"01-02-2020",""
"02-02-2020",""
"03-02-2020","5.97"
"04-02-2020","5.98"
"05-02-2020","5.97"
"06-02-2020","5.98"
"07-02-2020","5.98"
"08-02-2020",""
"09-02-2020",""
"10-02-2020","5.98"
"11-02-2020","6.00"
"12-02-2020","6.03"
"13-02-2020","6.02"
"14-02-2020","6.05"
"15-02-2020",""
"16-02-2020",""
"17-02-2020","6.05"
"18-02-2020","6.04"
"19-02-2020","6.06"
"20-02-2020","6.06"
"21-02-2020","6.08"
"22-02-2020",""
"23-02-2020",""
"24-02-2020","6.10"
"25-02-2020","6.14"
"26-02-2020","6.12"
"27-02-2020","6.15"
"28-02-2020","6.16"
"29-02-2020",""
"01-03-2020",""
"02-03-2020","6.23"
"03-03-2020","6.22"
"04-03-2020","6.19"
"05-03-2020","6.09"
"06-03-2020","6.08"
"07-03-2020",""
"08-03-2020",""
"09-03-2020","6.08"
"10-03-2020","6.11"
"11-03-2020","6.12"
"12-03-2020","6.15"
"13-03-2020","6.23"
"14-03-2020",""
"15-03-2020",""
"16-03-2020","6.27"
"17-03-2020","6.36"
"18-03-2020","6.45"
"19-03-2020","6.45"
"20-03-2020","6.52"
"21-03-2020",""
"22-03-2020",""
"23-03-2020","6.48"
"24-03-2020","6.59"
"25-03-2020","6.49"
"26-03-2020","6.40"
"27-03-2020","6.46"
"28-03-2020",""
"29-03-2020",""
"30-03-2020","6.43"
"31-03-2020","6.52"
"01-04-2020","6.57"
"02-04-2020","6.64"
"03-04-2020","6.67"
"04-04-2020",""
"05-04-2020",""
"06-04-2020","6.69"
"07-04-2020","6.75"
"08-04-2020","6.74"
"09-04-2020","6.77"
"10-04-2020","6.74"
"11-04-2020",""
"12-04-2020",""
"13-04-2020","6.69"
"14-04-2020","6.76"
"15-04-2020","6.78"
"16-04-2020","6.85"
"17-04-2020","6.91"
"18-04-2020",""
"19-04-2020",""
"20-04-2020","6.91"
"21-04-2020","6.91"
"22-04-2020","6.96"
"23-04-2020",""
"24-04-2020","6.97"
"25-04-2020",""
"26-04-2020",""
"27-04-2020","6.96"
"28-04-2020","6.97"
"29-04-2020","6.99"
"30-04-2020","6.98"
"01-05-2020",""
"02-05-2020",""
"03-05-2020",""
"04-05-2020","6.97"
"05-05-2020","7.02"
"06-05-2020","7.06"
"07-05-2020","7.13"
"08-05-2020","7.22"
"09-05-2020",""
"10-05-2020",""
"11-05-2020","7.10"
"12-05-2020","7.07"
"13-05-2020","7.01"
"14-05-2020","6.98"
"15-05-2020","6.95"
"16-05-2020",""
"17-05-2020",""
"18-05-2020","6.90"
"19-05-2020",""
"20-05-2020","6.86"
"21-05-2020","6.78"
"22-05-2020","6.79"
"23-05-2020",""
"24-05-2020",""
"25-05-2020",""
"26-05-2020",""
"27-05-2020","6.79"
"28-05-2020","6.76"
"29-05-2020","6.79"
"30-05-2020",""
"31-05-2020",""
"01-06-2020","6.81"
"02-06-2020","6.81"
"03-06-2020","6.78"
"04-06-2020","6.73"
"05-06-2020","6.75"
"06-06-2020",""
"07-06-2020",""
"08-06-2020","6.76"
"09-06-2020","6.77"
"10-06-2020","6.78"
"11-06-2020","6.78"
"12-06-2020","6.78"
"13-06-2020",""
"14-06-2020",""
"15-06-2020","6.81"
"16-06-2020","6.82"
"17-06-2020","6.83"
"18-06-2020","6.83"
"19-06-2020","6.85"
"20-06-2020",""
"21-06-2020",""
"22-06-2020","6.84"
"23-06-2020","6.84"
"24-06-2020","6.84"
"25-06-2020","6.85"
"26-06-2020","6.84"
"27-06-2020",""
"28-06-2020",""
"29-06-2020","6.84"
"30-06-2020","6.84"
"01-07-2020","6.84"
"02-07-2020","6.84"
"03-07-2020","6.84"
"04-07-2020",""
"05-07-2020",""
"06-07-2020","6.84"
"07-07-2020","6.85"
"08-07-2020","6.85"
"09-07-2020","6.85"
"10-07-2020","6.85"
"11-07-2020",""
"12-07-2020",""
"13-07-2020","6.85"
"14-07-2020","6.85"
"15-07-2020",""
"16-07-2020","6.85"
"17-07-2020","6.85"
"18-07-2020",""
"19-07-2020",""
"20-07-2020","6.84"
"21-07-2020","6.84"
"22-07-2020","6.84"
"23-07-2020","6.84"
"24-07-2020","6.83"
"25-07-2020",""
"26-07-2020",""
"27-07-2020","6.84"
"28-07-2020","6.84"
"29-07-2020","6.88"
"30-07-2020","6.94"
"31-07-2020",""
"01-08-2020",""
"02-08-2020",""
"03-08-2020",""
"04-08-2020","6.94"
"05-08-2020","6.93"
"06-08-2020","6.99"
"07-08-2020","7.16"
"08-08-2020",""
"09-08-2020",""
"10-08-2020","7.27"
"11-08-2020","7.30"
"12-08-2020","7.25"
"13-08-2020","7.29"
"14-08-2020","7.31"
"15-08-2020",""
"16-08-2020",""
"17-08-2020","7.34"
"18-08-2020","7.37"
"19-08-2020","7.37"
"20-08-2020","7.35"
"21-08-2020","7.30"
"22-08-2020",""
"23-08-2020",""
"24-08-2020","7.22"
"25-08-2020","7.34"
"26-08-2020","7.37"
"27-08-2020","7.35"
"28-08-2020","7.32"
"29-08-2020",""
"30-08-2020",""
"31-08-2020","7.31"
"01-09-2020","7.33"
"02-09-2020","7.34"
"03-09-2020","7.36"
"04-09-2020","7.40"
"05-09-2020",""
"06-09-2020",""
"07-09-2020","7.41"
"08-09-2020","7.43"
"09-09-2020","7.45"
"10-09-2020","7.47"
"11-09-2020","7.46"
"12-09-2020",""
"13-09-2020",""
"14-09-2020","7.44"
"15-09-2020","7.47"
"16-09-2020","7.47"
"17-09-2020","7.47"
"18-09-2020","7.52"
"19-09-2020",""
"20-09-2020",""
"21-09-2020","7.53"
"22-09-2020","7.57"
"23-09-2020","7.63"
"24-09-2020","7.66"
"25-09-2020","7.66"
"26-09-2020",""
"27-09-2020",""
"28-09-2020","7.55"
"29-09-2020","7.75"
"30-09-2020","7.81"
"01-10-2020","7.75"
"02-10-2020","7.69"
"03-10-2020",""
"04-10-2020",""
"05-10-2020","7.73"
"06-10-2020","7.73"
"07-10-2020","7.75"
"08-10-2020","7.83"
"09-10-2020","7.89"
"10-10-2020",""
"11-10-2020",""
"12-10-2020","7.91"
"13-10-2020","7.87"
"14-10-2020","7.88"
"15-10-2020","7.92"
"16-10-2020","7.91"
"17-10-2020",""
"18-10-2020",""
"19-10-2020","7.91"
"20-10-2020","7.88"
"21-10-2020","7.88"
"22-10-2020","7.82"
"23-10-2020","7.80"
"24-10-2020",""
"25-10-2020",""
"26-10-2020","7.94"
"27-10-2020","8.03"
"28-10-2020","8.12"
"29-10-2020",""
"30-10-2020","8.12"
"31-10-2020",""
"01-11-2020",""
"02-11-2020","8.31"
"03-11-2020","8.38"
"04-11-2020","8.45"
"05-11-2020","8.46"
"06-11-2020","8.44"
"07-11-2020",""
"08-11-2020",""
"09-11-2020","8.46"
"10-11-2020","8.18"
"11-11-2020","8.24"
"12-11-2020","8.05"
"13-11-2020","7.79"
