Hafta,kredi basvuru
2019-01-06,48
2019-01-13,53
2019-01-20,46
2019-01-27,40
2019-02-03,54
2019-02-10,51
2019-02-17,55
2019-02-24,56
2019-03-03,58
2019-03-10,50
2019-03-17,53
2019-03-24,43
2019-03-31,32
2019-04-07,45
2019-04-14,50
2019-04-21,49
2019-04-28,47
2019-05-05,36
2019-05-12,48
2019-05-19,50
2019-05-26,43
2019-06-02,34
2019-06-09,55
2019-06-16,53
2019-06-23,53
2019-06-30,55
2019-07-07,49
2019-07-14,43
2019-07-21,42
2019-07-28,54
2019-08-04,61
2019-08-11,49
2019-08-18,89
2019-08-25,60
2019-09-01,57
2019-09-08,54
2019-09-15,63
2019-09-22,71
2019-09-29,85
2019-10-06,78
2019-10-13,100
2019-10-20,65
2019-10-27,50
2019-11-03,65
2019-11-10,67
2019-11-17,57
2019-11-24,46
2019-12-01,48
2019-12-08,61
2019-12-15,53
2019-12-22,49
2019-12-29,50
