Hafta,DolarAlimi
2020-01-05,50
2020-01-12,29
2020-01-19,31
2020-01-26,20
2020-02-02,17
2020-02-09,21
2020-02-16,37
2020-02-23,14
2020-03-01,30
2020-03-08,27
2020-03-15,28
2020-03-22,53
2020-03-29,27
2020-04-05,29
2020-04-12,22
2020-04-19,30
2020-04-26,22
2020-05-03,34
2020-05-10,18
2020-05-17,35
2020-05-24,27
2020-05-31,24
2020-06-07,29
2020-06-14,17
2020-06-21,13
2020-06-28,23
2020-07-05,24
2020-07-12,26
2020-07-19,14
2020-07-26,29
2020-08-02,53
2020-08-09,49
2020-08-16,46
2020-08-23,39
2020-08-30,22
2020-09-06,24
2020-09-13,24
2020-09-20,34
2020-09-27,36
2020-10-04,36
2020-10-11,25
2020-10-18,33
2020-10-25,43
2020-11-01,50
2020-11-08,100
