Tarih;TP KTF10
2013-01;14,06
2013-02;13,76
2013-03;13,52
2013-04;13,45
2013-05;12,67
2013-06;11,82
2013-07;12,47
2013-08;13,12
2013-09;13,94
2013-10;13,81
2013-11;13,77
2013-12;13,57
2014-01;15,03
2014-02;16,83
2014-03;17,15
2014-04;16,87
2014-05;16,68
2014-06;15,96
2014-07;15,32
2014-08;15,08
2014-09;14,86
2014-10;14,91
2014-11;14,68
2014-12;14,39
2015-01;14,86
2015-02;14,89
2015-03;14,68
2015-04;14,84
2015-05;15,43
2015-06;15,68
2015-07;15,70
2015-08;16,05
2015-09;16,91
2015-10;17,70
2015-11;17,51
2015-12;17,33
2016-01;17,61
2016-02;17,94
2016-03;18,03
2016-04;17,85
2016-05;17,52
2016-06;17,33
2016-07;17,38
2016-08;17,52
2016-09;17,34
2016-10;16,72
2016-11;16,09
2016-12;16,20
2017-01;16,36
2017-02;16,72
2017-03;16,62
2017-04;16,88
2017-05;17,24
2017-06;17,35
2017-07;17,54
2017-08;17,91
2017-09;18,16
2017-10;18,54
2017-11;18,79
2017-12;19,36
2018-01;20,02
2018-02;20,18
2018-03;19,84
2018-04;19,98
2018-05;20,19
2018-06;23,11
2018-07;24,96
2018-08;28,82
2018-09;36,41
2018-10;38,72
2018-11;36,10
2018-12;33,59
2019-01;30,81
2019-02;26,42
2019-03;23,51
2019-04;25,94
2019-05;29,02
2019-06;29,18
2019-07;27,41
2019-08;23,09
2019-09;20,17
2019-10;18,34
2019-11;16,99
2019-12;15,98
2020-01;15,19
2020-02;14,36
2020-03;14,73
2020-04;12,39
2020-05;10,61
2020-06;12,67
2020-07;12,37
2020-08;16,54
2020-09;18,48
2020-10;19,50
2020-11;21,08
;
;
;
;
;
;
