Date;TP KTF17
2013-01;12,05
2013-02;11,76
2013-03;11,06
2013-04;10,68
2013-05;9,48
2013-06;9,26
2013-07;10,62
2013-08;10,96
2013-09;11,33
2013-10;10,96
2013-11;10,83
2013-12;11,31
2014-01;13,25
2014-02;15,45
2014-03;16,06
2014-04;15,06
2014-05;14,15
2014-06;13,50
2014-07;12,86
2014-08;11,63
2014-09;12,22
2014-10;12,88
2014-11;13,03
2014-12;12,43
2015-01;12,77
2015-02;12,71
2015-03;12,83
2015-04;13,19
2015-05;13,30
2015-06;13,57
2015-07;13,69
2015-08;14,66
2015-09;15,66
2015-10;15,85
2015-11;15,44
2015-12;15,69
2016-01;15,71
2016-02;15,99
2016-03;16,38
2016-04;15,97
2016-05;15,50
2016-06;15,32
2016-07;15,20
2016-08;14,67
2016-09;14,45
2016-10;14,78
2016-11;14,00
2016-12;14,27
2017-01;13,96
2017-02;14,70
2017-03;15,32
2017-04;15,61
2017-05;15,50
2017-06;16,33
2017-07;17,00
2017-08;16,15
2017-09;16,59
2017-10;16,45
2017-11;16,45
2017-12;17,06
2018-01;17,16
2018-02;17,66
2018-03;17,61
2018-04;17,29
2018-05;17,99
2018-06;22,47
2018-07;23,45
2018-08;28,17
2018-09;34,48
2018-10;33,29
2018-11;29,78
2018-12;28,26
2019-01;26,33
2019-02;23,42
2019-03;23,08
2019-04;24,74
2019-05;26,85
2019-06;27,51
2019-07;23,95
2019-08;19,91
2019-09;18,24
2019-10;15,95
2019-11;14,11
2019-12;13,68
2020-01;11,97
2020-02;11,34
2020-03;11,99
2020-04;10,98
2020-05;9,83
2020-06;9,97
2020-07;10,30
2020-08;12,85
2020-09;14,29
2020-10;15,23
2020-11;17,19
;
;
;
;
;
;
