Tarih;TP DK USD S YTL
2013-01;1,77
2013-02;1,78
2013-03;1,81
2013-04;1,80
2013-05;1,83
2013-06;1,90
2013-07;1,93
2013-08;1,96
2013-09;2,02
2013-10;1,99
2013-11;2,03
2013-12;2,06
2014-01;2,22
2014-02;2,22
2014-03;2,22
2014-04;2,13
2014-05;2,09
2014-06;2,12
2014-07;2,12
2014-08;2,16
2014-09;2,21
2014-10;2,26
2014-11;2,24
2014-12;2,29
2015-01;2,33
2015-02;2,46
2015-03;2,59
2015-04;2,65
2015-05;2,65
2015-06;2,71
2015-07;2,70
2015-08;2,85
2015-09;3,01
2015-10;2,93
2015-11;2,88
2015-12;2,92
2016-01;3,01
2016-02;2,95
2016-03;2,90
2016-04;2,84
2016-05;2,93
2016-06;2,92
2016-07;2,96
2016-08;2,97
2016-09;2,97
2016-10;3,07
2016-11;3,27
2016-12;3,50
2017-01;3,74
2017-02;3,68
2017-03;3,67
2017-04;3,66
2017-05;3,57
2017-06;3,53
2017-07;3,57
2017-08;3,52
2017-09;3,47
2017-10;3,67
2017-11;3,89
2017-12;3,85
2018-01;3,78
2018-02;3,78
2018-03;3,89
2018-04;4,06
2018-05;4,42
2018-06;4,64
2018-07;4,76
2018-08;5,74
2018-09;6,38
2018-10;5,87
2018-11;5,38
2018-12;5,32
2019-01;5,38
2019-02;5,27
2019-03;5,45
2019-04;5,75
2019-05;6,06
2019-06;5,82
2019-07;5,68
2019-08;5,63
2019-09;5,72
2019-10;5,79
2019-11;5,74
2019-12;5,85
2020-01;5,93
2020-02;6,06
2020-03;6,33
2020-04;6,83
2020-05;6,96
2020-06;6,82
2020-07;6,86
2020-08;7,27
2020-09;7,52
2020-10;7,89
2020-11;8,02
;
;
;
;
;
;
